time_index,AQI,ranking,PM2.5(μg/m3),Pm10(μg/m3),So2(μg/m3),No2(μg/m3),Co(mg/m3),O3(μg/m3)
2013-10-31,114.5,60.5,77.0,105.5,32.75,62.0,1.0525,99.25
2013-11-30,78.0,35.63333333333333,55.3,80.36666666666666,25.5,49.2,0.9836666666666667,57.5
2013-12-31,110.19354838709677,44.41935483870968,82.06451612903226,101.38709677419355,37.935483870967744,62.645161290322584,1.2654838709677418,56.45161290322581
2014-01-31,112.23333333333333,79.83333333333333,83.7,103.33333333333333,28.6,62.3,1.254,70.4
2014-02-28,64.14285714285714,55.285714285714285,44.67857142857143,50.17857142857143,19.25,39.642857142857146,1.0339285714285713,51.25
2014-03-31,71.06666666666666,56.56666666666667,50.1,64.83333333333333,27.933333333333334,51.166666666666664,1.0586666666666666,40.3
2014-04-30,63.03333333333333,49.96666666666667,41.2,55.5,24.966666666666665,46.8,0.9413333333333332,63.46666666666667
2014-05-31,46.16129032258065,27.0,26.548387096774192,38.03225806451613,17.483870967741936,38.935483870967744,0.7716129032258064,44.064516129032256
2014-06-30,52.06666666666667,48.93333333333333,27.9,42.43333333333333,12.733333333333333,36.93333333333333,0.7016666666666667,59.2
2014-07-31,60.70967741935484,76.0,29.451612903225808,46.064516129032256,18.516129032258064,32.774193548387096,0.7387096774193548,68.64516129032258
2014-08-31,59.03448275862069,77.86206896551724,25.413793103448278,37.10344827586207,19.517241379310345,26.75862068965517,0.7468965517241379,67.72413793103448
2014-09-30,64.76666666666667,94.66666666666667,32.53333333333333,46.766666666666666,18.533333333333335,30.3,0.8183333333333334,77.13333333333334
2014-10-31,84.61290322580645,98.51612903225806,55.806451612903224,78.48387096774194,21.419354838709676,35.225806451612904,0.8651612903225806,95.96774193548387
2014-11-30,70.33333333333333,64.86666666666666,47.36666666666667,70.8,18.666666666666668,43.43333333333333,1.028,56.666666666666664
2014-12-31,79.80645161290323,80.74193548387096,56.74193548387097,77.03225806451613,23.032258064516128,48.903225806451616,1.089032258064516,50.45161290322581
2015-01-31,83.51612903225806,148.7741935483871,60.645161290322584,83.87096774193549,20.903225806451612,52.83870967741935,1.0329032258064517,57.096774193548384
2015-02-28,72.39285714285714,125.10714285714286,51.0,67.71428571428571,12.535714285714286,34.607142857142854,0.9632142857142857,62.357142857142854
2015-03-31,49.806451612903224,74.80645161290323,32.32258064516129,46.03225806451613,12.0,37.83870967741935,0.9296774193548387,37.03225806451613
2015-04-30,60.666666666666664,111.54166666666667,33.916666666666664,51.375,12.583333333333334,34.583333333333336,0.8054166666666668,72.5
2015-05-31,39.54838709677419,44.87096774193548,21.93548387096774,33.225806451612904,7.129032258064516,29.387096774193548,0.7951612903225808,47.25806451612903
2015-06-30,33.46666666666667,47.63333333333333,15.433333333333334,25.866666666666667,7.433333333333334,20.633333333333333,0.6679999999999999,44.266666666666666
2015-07-31,45.96774193548387,109.35483870967742,22.06451612903226,33.67741935483871,8.35483870967742,23.580645161290324,0.6325806451612903,63.96774193548387
2015-08-31,59.645161290322584,198.1290322580645,30.870967741935484,44.45161290322581,11.258064516129032,30.580645161290324,0.7293548387096774,70.54838709677419
2015-09-30,65.46666666666667,228.33333333333334,37.3,52.8,12.533333333333333,29.466666666666665,0.7303333333333334,77.36666666666666
2015-10-31,69.83870967741936,177.3548387096774,45.38709677419355,65.16129032258064,16.483870967741936,32.61290322580645,0.8196774193548387,69.96774193548387
2015-11-30,60.4,162.56666666666666,40.36666666666667,59.56666666666667,16.233333333333334,34.7,0.8746666666666666,44.266666666666666
2015-12-31,54.516129032258064,91.09677419354838,37.645161290322584,51.16129032258065,14.935483870967742,35.87096774193548,0.9909677419354839,34.064516129032256
2016-01-31,50.41935483870968,71.41935483870968,34.096774193548384,44.54838709677419,12.806451612903226,34.96774193548387,0.966774193548387,30.774193548387096
2016-02-29,49.06896551724138,72.75862068965517,32.86206896551724,43.310344827586206,6.482758620689655,22.620689655172413,0.7810344827586206,46.86206896551724
2016-03-31,66.2258064516129,123.90322580645162,46.193548387096776,62.32258064516129,9.612903225806452,47.516129032258064,0.8103225806451613,41.61290322580645
2016-04-30,51.36666666666667,96.66666666666667,34.0,47.5,7.6,37.86666666666667,0.7996666666666667,39.266666666666666
2016-05-31,52.41935483870968,100.74193548387096,29.548387096774192,43.806451612903224,7.387096774193548,24.64516129032258,0.6703225806451614,66.12903225806451
2016-06-30,43.03333333333333,106.33333333333333,20.7,33.56666666666667,7.166666666666667,29.166666666666668,0.6903333333333334,50.6
2016-07-31,48.0,150.83870967741936,23.193548387096776,37.45161290322581,8.290322580645162,24.903225806451612,0.5793548387096774,57.61290322580645
2016-08-31,60.29032258064516,215.74193548387098,32.903225806451616,48.70967741935484,11.225806451612904,30.322580645161292,0.7241935483870967,71.41935483870968
2016-09-30,55.733333333333334,152.56666666666666,34.4,50.53333333333333,13.733333333333333,32.96666666666667,0.7420000000000001,63.93333333333333
2016-10-31,48.354838709677416,147.19354838709677,31.129032258064516,44.29032258064516,13.451612903225806,29.612903225806452,0.8241935483870968,46.064516129032256
2016-11-30,58.4,116.3,39.06666666666667,56.03333333333333,13.633333333333333,36.93333333333333,1.02,48.733333333333334
2016-12-31,74.29032258064517,125.45161290322581,52.935483870967744,73.83870967741936,15.161290322580646,50.87096774193548,1.1564516129032258,46.61290322580645
2017-01-31,72.61290322580645,124.38709677419355,51.806451612903224,69.2258064516129,11.806451612903226,41.67741935483871,1.0877419354838709,49.12903225806452
2017-02-28,61.607142857142854,111.32142857142857,41.035714285714285,53.32142857142857,11.035714285714286,43.25,0.9560714285714286,61.464285714285715
2017-03-31,57.354838709677416,118.2258064516129,37.29032258064516,59.16129032258065,10.258064516129032,51.12903225806452,0.9948387096774194,40.54838709677419
2017-04-30,61.806451612903224,132.7741935483871,38.225806451612904,51.225806451612904,9.838709677419354,43.25806451612903,0.8648387096774193,53.61290322580645
2017-05-31,63.59375,142.71875,38.125,52.09375,12.0,37.90625,0.853125,72.625
2017-06-30,36.4,65.83333333333333,18.466666666666665,32.06666666666667,8.066666666666666,32.3,0.779,40.1
2017-07-31,40.87096774193548,100.16129032258064,21.70967741935484,35.12903225806452,9.806451612903226,32.903225806451616,0.8161290322580645,41.03225806451613
2017-08-31,47.25806451612903,155.90322580645162,22.677419354838708,35.67741935483871,9.935483870967742,31.870967741935484,0.8032258064516129,59.03225806451613
2017-09-30,61.96666666666667,194.36666666666667,33.1,47.43333333333333,11.733333333333333,37.9,0.8743333333333333,68.13333333333334
2017-10-31,56.166666666666664,167.7,35.333333333333336,47.8,11.0,30.033333333333335,0.896,72.9
2017-11-30,61.13333333333333,143.2,42.833333333333336,55.0,10.966666666666667,41.03333333333333,1.0290000000000001,43.9
2017-12-31,75.41935483870968,140.38709677419354,54.45161290322581,71.3225806451613,17.193548387096776,52.29032258064516,1.0948387096774193,53.87096774193548
2018-01-31,82.3225806451613,165.25806451612902,59.54838709677419,66.87096774193549,13.774193548387096,58.774193548387096,1.0896774193548386,43.58064516129032
2018-02-28,62.214285714285715,115.0,43.392857142857146,49.642857142857146,8.785714285714286,31.571428571428573,0.9185714285714285,61.535714285714285
2018-03-31,66.90322580645162,149.6451612903226,41.58064516129032,53.064516129032256,10.935483870967742,46.87096774193548,0.9083870967741936,67.54838709677419
2018-04-30,64.48387096774194,132.03225806451613,39.83870967741935,60.54838709677419,10.709677419354838,40.806451612903224,0.8319354838709677,58.54838709677419
2018-05-31,47.935483870967744,82.41935483870968,23.258064516129032,38.32258064516129,6.709677419354839,26.903225806451612,0.602258064516129,64.54838709677419
2018-06-30,44.36666666666667,104.9,22.833333333333332,35.63333333333333,7.166666666666667,28.333333333333332,0.6666666666666666,59.06666666666667
2018-07-31,41.0,123.64516129032258,19.516129032258064,34.83870967741935,6.612903225806452,26.967741935483872,0.5916129032258064,47.58064516129032
2018-08-31,51.629629629629626,185.5185185185185,26.333333333333332,40.888888888888886,6.185185185185185,34.592592592592595,0.768888888888889,69.33333333333333
2018-09-30,50.41379310344828,190.27586206896552,26.79310344827586,40.6551724137931,7.379310344827586,30.310344827586206,0.6006896551724139,63.96551724137931
2018-10-31,59.38709677419355,193.32258064516128,36.645161290322584,52.774193548387096,9.35483870967742,37.12903225806452,0.7732258064516129,66.80645161290323
2018-11-30,60.7,175.53333333333333,41.333333333333336,56.56666666666667,10.166666666666666,41.0,0.854,45.2
2018-12-31,49.28,108.4,33.44,47.64,8.52,37.68,0.8231999999999999,30.16
2019-01-31,69.03225806451613,144.96774193548387,49.54838709677419,63.225806451612904,9.258064516129032,45.54838709677419,1.115483870967742,38.61290322580645
2019-02-28,39.642857142857146,73.71428571428571,26.107142857142858,32.67857142857143,6.25,25.25,0.7896428571428571,40.92857142857143
2019-03-31,48.193548387096776,105.90322580645162,30.419354838709676,43.12903225806452,8.225806451612904,40.516129032258064,0.8325806451612903,41.645161290322584
2019-04-30,44.36666666666667,85.86666666666666,25.666666666666668,39.266666666666666,8.733333333333333,34.93333333333333,0.7746666666666666,48.0
2019-05-31,42.67741935483871,70.83870967741936,20.580645161290324,36.354838709677416,7.967741935483871,29.387096774193548,0.6916129032258065,58.87096774193548
2019-06-30,35.30434782608695,93.47826086956522,13.652173913043478,27.17391304347826,6.956521739130435,25.82608695652174,0.7004347826086956,55.82608695652174
2019-07-31,40.40909090909091,162.1818181818182,18.863636363636363,36.0,6.818181818181818,28.40909090909091,0.6795454545454546,59.90909090909091
2019-08-31,62.0,281.64285714285717,30.714285714285715,47.857142857142854,6.714285714285714,33.857142857142854,0.7642857142857142,84.5
2019-09-30,56.43333333333333,230.36666666666667,31.466666666666665,49.333333333333336,8.933333333333334,35.43333333333333,0.757,94.16666666666667
2019-10-31,65.9375,248.5,41.0625,62.09375,11.875,33.65625,0.7753125,100.21875
2019-11-30,70.2,216.16666666666666,46.2,76.5,13.633333333333333,46.4,0.8053333333333333,83.7
2019-12-31,70.58064516129032,185.38709677419354,49.16129032258065,75.0,13.387096774193548,55.774193548387096,0.8332258064516128,53.32258064516129
2020-01-31,52.87096774193548,120.70967741935483,36.25806451612903,44.806451612903224,8.064516129032258,32.45161290322581,0.7870967741935483,56.67741935483871
2020-02-29,40.55172413793103,114.27586206896552,26.96551724137931,30.137931034482758,7.793103448275862,18.344827586206897,0.5855172413793104,59.0
2020-03-31,38.83870967741935,100.93548387096774,23.580645161290324,37.096774193548384,7.806451612903226,26.741935483870968,0.6138709677419355,52.67741935483871
2020-04-30,47.7,133.43333333333334,29.0,44.13333333333333,9.133333333333333,32.96666666666667,0.6693333333333332,63.13333333333333
2020-05-31,35.29032258064516,88.70967741935483,17.419354838709676,31.29032258064516,6.774193548387097,24.096774193548388,0.6551612903225806,58.064516129032256
